nodes expanded: 900
nodes in solution: 486

0,0,1
100,95,0

0,2,0
100,93,1

0,1,1
100,94,0

0,3,0
100,92,1

0,2,1
100,93,0

2,2,0
98,93,1

2,0,1
98,95,0

3,1,0
97,94,1

3,0,1
97,95,0

3,2,0
97,93,1

3,1,1
97,94,0

3,3,0
97,92,1

3,2,1
97,93,0

4,3,0
96,92,1

4,1,1
96,94,0

6,1,0
94,94,1

5,1,1
95,94,0

5,3,0
95,92,1

5,2,1
95,93,0

5,4,0
95,91,1

5,3,1
95,92,0

5,5,0
95,90,1

5,4,1
95,91,0

6,5,0
94,90,1

6,3,1
94,92,0

8,3,0
92,92,1

7,3,1
93,92,0

7,5,0
93,90,1

7,4,1
93,91,0

7,6,0
93,89,1

7,5,1
93,90,0

7,7,0
93,88,1

7,6,1
93,89,0

8,7,0
92,88,1

8,5,1
92,90,0

10,5,0
90,90,1

9,5,1
91,90,0

9,7,0
91,88,1

9,6,1
91,89,0

9,8,0
91,87,1

9,7,1
91,88,0

9,9,0
91,86,1

9,8,1
91,87,0

10,9,0
90,86,1

10,7,1
90,88,0

12,7,0
88,88,1

11,7,1
89,88,0

11,9,0
89,86,1

11,8,1
89,87,0

11,10,0
89,85,1

11,9,1
89,86,0

11,11,0
89,84,1

11,10,1
89,85,0

12,11,0
88,84,1

12,9,1
88,86,0

14,9,0
86,86,1

13,9,1
87,86,0

13,11,0
87,84,1

13,10,1
87,85,0

13,12,0
87,83,1

13,11,1
87,84,0

13,13,0
87,82,1

13,12,1
87,83,0

14,13,0
86,82,1

14,11,1
86,84,0

16,11,0
84,84,1

15,11,1
85,84,0

15,13,0
85,82,1

15,12,1
85,83,0

15,14,0
85,81,1

15,13,1
85,82,0

15,15,0
85,80,1

15,14,1
85,81,0

16,15,0
84,80,1

16,13,1
84,82,0

18,13,0
82,82,1

17,13,1
83,82,0

17,15,0
83,80,1

17,14,1
83,81,0

17,16,0
83,79,1

17,15,1
83,80,0

17,17,0
83,78,1

17,16,1
83,79,0

18,17,0
82,78,1

18,15,1
82,80,0

20,15,0
80,80,1

19,15,1
81,80,0

19,17,0
81,78,1

19,16,1
81,79,0

19,18,0
81,77,1

19,17,1
81,78,0

19,19,0
81,76,1

19,18,1
81,77,0

20,19,0
80,76,1

20,17,1
80,78,0

22,17,0
78,78,1

21,17,1
79,78,0

21,19,0
79,76,1

21,18,1
79,77,0

21,20,0
79,75,1

21,19,1
79,76,0

21,21,0
79,74,1

21,20,1
79,75,0

22,21,0
78,74,1

22,19,1
78,76,0

24,19,0
76,76,1

23,19,1
77,76,0

23,21,0
77,74,1

23,20,1
77,75,0

23,22,0
77,73,1

23,21,1
77,74,0

23,23,0
77,72,1

23,22,1
77,73,0

24,23,0
76,72,1

24,21,1
76,74,0

26,21,0
74,74,1

25,21,1
75,74,0

25,23,0
75,72,1

25,22,1
75,73,0

25,24,0
75,71,1

25,23,1
75,72,0

25,25,0
75,70,1

25,24,1
75,71,0

26,25,0
74,70,1

26,23,1
74,72,0

28,23,0
72,72,1

27,23,1
73,72,0

27,25,0
73,70,1

27,24,1
73,71,0

27,26,0
73,69,1

27,25,1
73,70,0

27,27,0
73,68,1

27,26,1
73,69,0

28,27,0
72,68,1

28,25,1
72,70,0

30,25,0
70,70,1

29,25,1
71,70,0

29,27,0
71,68,1

29,26,1
71,69,0

29,28,0
71,67,1

29,27,1
71,68,0

29,29,0
71,66,1

29,28,1
71,67,0

30,29,0
70,66,1

30,27,1
70,68,0

32,27,0
68,68,1

31,27,1
69,68,0

31,29,0
69,66,1

31,28,1
69,67,0

31,30,0
69,65,1

31,29,1
69,66,0

31,31,0
69,64,1

31,30,1
69,65,0

32,31,0
68,64,1

32,29,1
68,66,0

34,29,0
66,66,1

33,29,1
67,66,0

33,31,0
67,64,1

33,30,1
67,65,0

33,32,0
67,63,1

33,31,1
67,64,0

33,33,0
67,62,1

33,32,1
67,63,0

34,33,0
66,62,1

34,31,1
66,64,0

36,31,0
64,64,1

35,31,1
65,64,0

35,33,0
65,62,1

35,32,1
65,63,0

35,34,0
65,61,1

35,33,1
65,62,0

35,35,0
65,60,1

35,34,1
65,61,0

36,35,0
64,60,1

36,33,1
64,62,0

38,33,0
62,62,1

37,33,1
63,62,0

37,35,0
63,60,1

37,34,1
63,61,0

37,36,0
63,59,1

37,35,1
63,60,0

37,37,0
63,58,1

37,36,1
63,59,0

38,37,0
62,58,1

38,35,1
62,60,0

40,35,0
60,60,1

39,35,1
61,60,0

39,37,0
61,58,1

39,36,1
61,59,0

39,38,0
61,57,1

39,37,1
61,58,0

39,39,0
61,56,1

39,38,1
61,57,0

40,39,0
60,56,1

40,37,1
60,58,0

42,37,0
58,58,1

41,37,1
59,58,0

41,39,0
59,56,1

41,38,1
59,57,0

41,40,0
59,55,1

41,39,1
59,56,0

41,41,0
59,54,1

41,40,1
59,55,0

42,41,0
58,54,1

42,39,1
58,56,0

44,39,0
56,56,1

43,39,1
57,56,0

43,41,0
57,54,1

43,40,1
57,55,0

43,42,0
57,53,1

43,41,1
57,54,0

43,43,0
57,52,1

43,42,1
57,53,0

44,43,0
56,52,1

44,41,1
56,54,0

46,41,0
54,54,1

45,41,1
55,54,0

45,43,0
55,52,1

45,42,1
55,53,0

45,44,0
55,51,1

45,43,1
55,52,0

45,45,0
55,50,1

45,44,1
55,51,0

46,45,0
54,50,1

46,43,1
54,52,0

48,43,0
52,52,1

47,43,1
53,52,0

47,45,0
53,50,1

47,44,1
53,51,0

47,46,0
53,49,1

47,45,1
53,50,0

47,47,0
53,48,1

47,46,1
53,49,0

48,47,0
52,48,1

48,45,1
52,50,0

50,45,0
50,50,1

49,45,1
51,50,0

49,47,0
51,48,1

49,46,1
51,49,0

49,48,0
51,47,1

49,47,1
51,48,0

49,49,0
51,46,1

49,48,1
51,47,0

50,49,0
50,46,1

50,47,1
50,48,0

52,47,0
48,48,1

51,47,1
49,48,0

51,49,0
49,46,1

51,48,1
49,47,0

51,50,0
49,45,1

51,49,1
49,46,0

51,51,0
49,44,1

51,50,1
49,45,0

52,51,0
48,44,1

52,49,1
48,46,0

54,49,0
46,46,1

53,49,1
47,46,0

53,51,0
47,44,1

53,50,1
47,45,0

53,52,0
47,43,1

53,51,1
47,44,0

53,53,0
47,42,1

53,52,1
47,43,0

54,53,0
46,42,1

54,51,1
46,44,0

56,51,0
44,44,1

55,51,1
45,44,0

55,53,0
45,42,1

55,52,1
45,43,0

55,54,0
45,41,1

55,53,1
45,42,0

55,55,0
45,40,1

55,54,1
45,41,0

56,55,0
44,40,1

56,53,1
44,42,0

58,53,0
42,42,1

57,53,1
43,42,0

57,55,0
43,40,1

57,54,1
43,41,0

57,56,0
43,39,1

57,55,1
43,40,0

57,57,0
43,38,1

57,56,1
43,39,0

58,57,0
42,38,1

58,55,1
42,40,0

60,55,0
40,40,1

59,55,1
41,40,0

59,57,0
41,38,1

59,56,1
41,39,0

59,58,0
41,37,1

59,57,1
41,38,0

59,59,0
41,36,1

59,58,1
41,37,0

60,59,0
40,36,1

60,57,1
40,38,0

62,57,0
38,38,1

61,57,1
39,38,0

61,59,0
39,36,1

61,58,1
39,37,0

61,60,0
39,35,1

61,59,1
39,36,0

61,61,0
39,34,1

61,60,1
39,35,0

62,61,0
38,34,1

62,59,1
38,36,0

64,59,0
36,36,1

63,59,1
37,36,0

63,61,0
37,34,1

63,60,1
37,35,0

63,62,0
37,33,1

63,61,1
37,34,0

63,63,0
37,32,1

63,62,1
37,33,0

64,63,0
36,32,1

64,61,1
36,34,0

66,61,0
34,34,1

65,61,1
35,34,0

65,63,0
35,32,1

65,62,1
35,33,0

65,64,0
35,31,1

65,63,1
35,32,0

65,65,0
35,30,1

65,64,1
35,31,0

66,65,0
34,30,1

66,63,1
34,32,0

68,63,0
32,32,1

67,63,1
33,32,0

67,65,0
33,30,1

67,64,1
33,31,0

67,66,0
33,29,1

67,65,1
33,30,0

67,67,0
33,28,1

67,66,1
33,29,0

68,67,0
32,28,1

68,65,1
32,30,0

70,65,0
30,30,1

69,65,1
31,30,0

69,67,0
31,28,1

69,66,1
31,29,0

69,68,0
31,27,1

69,67,1
31,28,0

69,69,0
31,26,1

69,68,1
31,27,0

70,69,0
30,26,1

70,67,1
30,28,0

72,67,0
28,28,1

71,67,1
29,28,0

71,69,0
29,26,1

71,68,1
29,27,0

71,70,0
29,25,1

71,69,1
29,26,0

71,71,0
29,24,1

71,70,1
29,25,0

72,71,0
28,24,1

72,69,1
28,26,0

74,69,0
26,26,1

73,69,1
27,26,0

73,71,0
27,24,1

73,70,1
27,25,0

73,72,0
27,23,1

73,71,1
27,24,0

73,73,0
27,22,1

73,72,1
27,23,0

74,73,0
26,22,1

74,71,1
26,24,0

76,71,0
24,24,1

75,71,1
25,24,0

75,73,0
25,22,1

75,72,1
25,23,0

75,74,0
25,21,1

75,73,1
25,22,0

75,75,0
25,20,1

75,74,1
25,21,0

76,75,0
24,20,1

76,73,1
24,22,0

78,73,0
22,22,1

77,73,1
23,22,0

77,75,0
23,20,1

77,74,1
23,21,0

77,76,0
23,19,1

77,75,1
23,20,0

77,77,0
23,18,1

77,76,1
23,19,0

78,77,0
22,18,1

78,75,1
22,20,0

80,75,0
20,20,1

79,75,1
21,20,0

79,77,0
21,18,1

79,76,1
21,19,0

79,78,0
21,17,1

79,77,1
21,18,0

79,79,0
21,16,1

79,78,1
21,17,0

80,79,0
20,16,1

80,77,1
20,18,0

82,77,0
18,18,1

81,77,1
19,18,0

81,79,0
19,16,1

81,78,1
19,17,0

81,80,0
19,15,1

81,79,1
19,16,0

81,81,0
19,14,1

81,80,1
19,15,0

82,81,0
18,14,1

82,79,1
18,16,0

84,79,0
16,16,1

83,79,1
17,16,0

83,81,0
17,14,1

83,80,1
17,15,0

83,82,0
17,13,1

83,81,1
17,14,0

83,83,0
17,12,1

83,82,1
17,13,0

84,83,0
16,12,1

84,81,1
16,14,0

86,81,0
14,14,1

85,81,1
15,14,0

85,83,0
15,12,1

85,82,1
15,13,0

85,84,0
15,11,1

85,83,1
15,12,0

85,85,0
15,10,1

85,84,1
15,11,0

86,85,0
14,10,1

86,83,1
14,12,0

88,83,0
12,12,1

87,83,1
13,12,0

87,85,0
13,10,1

87,84,1
13,11,0

87,86,0
13,9,1

87,85,1
13,10,0

87,87,0
13,8,1

87,86,1
13,9,0

88,87,0
12,8,1

88,85,1
12,10,0

90,85,0
10,10,1

89,85,1
11,10,0

89,87,0
11,8,1

89,86,1
11,9,0

89,88,0
11,7,1

89,87,1
11,8,0

89,89,0
11,6,1

89,88,1
11,7,0

90,89,0
10,6,1

90,87,1
10,8,0

92,87,0
8,8,1

91,87,1
9,8,0

91,89,0
9,6,1

91,88,1
9,7,0

91,90,0
9,5,1

91,89,1
9,6,0

91,91,0
9,4,1

91,90,1
9,5,0

92,91,0
8,4,1

92,89,1
8,6,0

94,89,0
6,6,1

93,89,1
7,6,0

93,91,0
7,4,1

93,90,1
7,5,0

93,92,0
7,3,1

93,91,1
7,4,0

93,93,0
7,2,1

93,92,1
7,3,0

94,93,0
6,2,1

94,91,1
6,4,0

96,91,0
4,4,1

95,91,1
5,4,0

95,93,0
5,2,1

95,92,1
5,3,0

95,94,0
5,1,1

95,93,1
5,2,0

95,95,0
5,0,1

95,94,1
5,1,0

96,95,0
4,0,1

96,93,1
4,2,0

98,93,0
2,2,1

97,93,1
3,2,0

97,95,0
3,0,1

97,94,1
3,1,0

98,95,0
2,0,1

98,93,1
2,2,0

100,93,0
0,2,1

100,92,1
0,3,0

100,94,0
0,1,1

100,93,1
0,2,0

100,95,0
0,0,1

